iso2,zip_code,location
AT,2492,Eggendorf
AT,2493,Lichtenwörth-Nadelburg
AT,2500,Baden
AT,2504,Sooß
AT,2511,Pfaffstätten
AT,2512,Tribuswinkel
AT,2514,Traiskirchen
AT,2521,Trumau
AT,2522,Oberwaltersdorf
AT,2523,Tattendorf
AT,2524,Teesdorf
AT,2525,Günselsdorf
AT,2531,Gaaden
AT,2532,Heiligenkreuz im Wienerwald
AT,2533,Klausen-Leopoldsdorf
AT,2534,Alland
AT,2540,Bad Vöslau
AT,2542,Kottingbrunn
AT,2544,Leobersdorf
AT,2551,Enzesfeld-Lindabrunn
AT,2552,Hirtenberg
AT,2560,Berndorf
AT,2561,Hernstein
AT,2563,Pottenstein
AT,2564,Weissenbach an der Triesting
AT,2565,Neuhaus
AT,2571,Altenmarkt-Thenneberg
AT,2572,Kaumberg
AT,2601,Sollenau
AT,2602,Blumau-Neurißhof
AT,2603,Felixdorf
AT,2604,Theresienfeld
AT,2620,Neunkirchen
AT,2624,Breitenau
AT,2625,Schwarzau am Steinfelde
AT,2630,Ternitz
AT,2631,Sieding-Stixenstein
AT,2632,Wimpassing im Schwarzatale
AT,2640,Gloggnitz
AT,2641,Schottwien
AT,2650,Payerbach
AT,2651,Reichenau an der Rax
AT,2654,Prein an der Rax
AT,2661,Naßwald
AT,2662,Schwarzau im Gebirge
AT,2663,Rohr im Gebirge
AT,2671,Küb
AT,2673,Breitenstein
AT,2680,Semmering
AT,2700,Wiener Neustadt
AT,2721,Bad Fischau
AT,2722,Winzendorf
AT,2723,Muthmannsdorf
AT,2724,Hohe Wand-Stollhof
AT,2731,St. Egyden am Steinfeld
AT,2732,Willendorf
AT,2733,Grünbach am Schneeberg
AT,2734,Puchberg am Schneeberg
AT,2751,Steinabrückl
AT,2752,Wöllersdorf
AT,2753,Markt Piesting
AT,2754,Waldegg
AT,2755,Oed
AT,2761,Miesenbach
AT,2763,Pernitz
AT,2770,Gutenstein
AT,2801,Katzelsdorf
AT,2802,Hochwolkersdorf
AT,2803,Schwarzenbach
AT,2811,Wiesmath
AT,2812,Hollenthon
AT,2813,Lichtenegg
AT,2821,Lanzenkirchen
AT,2822,Bad Erlach
AT,2823,Pitten
AT,2824,Seebenstein
AT,2831,Warth
AT,2832,Thernberg
AT,2833,Bromberg
AT,2840,Grimmenstein
AT,2842,Edlitz
AT,2851,Krumbach
AT,2852,Hochneukirchen
AT,2853,Bad Schönau
AT,2860,Kirchschlag in der Buckligen Welt
AT,2870,Aspang
AT,2871,Zöbern
AT,2872,Mönichkirchen
AT,2873,Feistritz am Wechsel
AT,2880,Kirchberg am Wechsel
AT,2881,Trattenbach
AT,3001,Mauerbach
AT,3002,Purkersdorf
AT,3003,Gablitz
AT,3004,Ried am Riederberg
AT,3011,Untertullnerbach
AT,3012,Wolfsgraben
AT,3013,Tullnerbach-Lawies
AT,3021,Pressbaum
AT,3031,Rekawinkel
AT,3032,Eichgraben
AT,3033,Altlengbach
AT,3034,Maria Anzbach
AT,3040,Neulengbach
AT,3041,Asperhofen
AT,3042,Würmla
AT,3051,St. Christophen
AT,3052,Innermanzing
AT,3053,Laaben
AT,3061,Ollersbach
AT,3062,Kirchstetten
AT,3071,Böheimkirchen
AT,3072,Kasten bei Böheimkirchen
AT,3073,Stössing
AT,3074,Michelbach
AT,3100,St. Pölten
AT,3104,St. Pölten-Harland
AT,3105,St. Pölten-Radlberg
AT,3107,St. Pölten-Traisenpark
AT,3110,Neidling
AT,3121,Karlstetten
AT,3122,Gansbach
AT,3123,Obritzberg
AT,3124,Oberwölbling
AT,3125,Statzendorf
AT,3130,Herzogenburg
AT,3131,Getzersdorf
AT,3133,Traismauer
AT,3134,Nußdorf
AT,3140,Pottenbrunn
AT,3141,Kapelln
AT,3142,Perschling
AT,3143,Pyhra
AT,3144,Wald
AT,3150,Wilhelmsburg
AT,3151,St. Georgen am Steinfelde
AT,3153,Eschenau
AT,3160,Traisen
AT,3161,St. Veit an der Gölsen
AT,3162,Rainfeld
AT,3163,Rohrbach
AT,3170,Hainfeld
AT,3171,Kleinzell-Salzerbad
AT,3172,Ramsau
AT,3180,Lilienfeld
AT,3183,Freiland
AT,3184,Türnitz
AT,3192,Hohenberg
AT,3193,St. Aegyd am Neuwalde
AT,3195,Kernhof
AT,3200,Ober-Grafendorf
AT,3202,Hofstetten
AT,3203,Rabenstein an der Pielach
AT,3204,Kirchberg an der Pielach
AT,3205,Weinburg
AT,3211,Loich
AT,3212,Schwarzenbach an der Pielach
AT,3213,Frankenfels
