iso2,location,zip_code,route, 
FR,LANCHY,02590,,
FR,LANDOUZY LA COUR,02140,,
FR,LAVAL EN LAONNOIS,02860,,
FR,LEME,02140,,
FR,LESGES,02220,,
FR,LEVERGIES,02420,,
FR,LIERVAL,02860,,
FR,LIME,02220,,
FR,LES SEPTVALLONS,02160,VAUXCERE,
FR,LES SEPTVALLONS,02160,VILLERS EN PRAYERES,
FR,LOUPEIGNE,02130,,
FR,LUZOIR,02500,,
FR,MACHECOURT,02350,,
FR,DHUYS ET MORIN EN BRIE,02330,ARTONGES,
FR,DHUYS ET MORIN EN BRIE,02540,MARCHAIS EN BRIE,
FR,MARIGNY EN ORXOIS,02810,,
FR,MEZY MOULINS,02650,,
FR,MONDREPUIS,02500,,
FR,MONTCORNET,02340,,
FR,MONTHUREL,02330,,
FR,MONTREUIL AUX LIONS,02310,,
FR,MOY DE L AISNE,02610,,
FR,NANTEUIL LA FOSSE,02880,,
FR,NEUVE MAISON,02500,,
FR,BERNOY LE CHATEAU,02200,BERZY LE SEC,
FR,OISY,02450,,
FR,OLLEZY,02480,,
FR,OMISSY,02100,,
FR,ORGEVAL,02860,,
FR,ORIGNY STE BENOITE,02390,,
FR,OSTEL,02370,,
FR,PARFONDEVAL,02360,,
FR,PAVANT,02310,,
FR,PITHON,02480,,
FR,PONTAVERT,02160,,
FR,PREMONTRE,02320,,
FR,PRESLES ET THIERNY,02860,,
FR,PUISIEUX ET CLANLIEU,02120,,
FR,RESIGNY,02360,,
FR,RETHEUIL,02600,,
FR,ROCOURT ST MARTIN,02210,,
FR,ROMENY SUR MARNE,02310,,
FR,ROUPY,02590,,
FR,ROYAUCOURT ET CHAILVET,02000,,
FR,ROZET ST ALBIN,02210,,
FR,ST ALGIS,02260,,
FR,ST AUBIN,02300,,
FR,ST GENGOULPH,02810,,
FR,ST MICHEL,02830,,
FR,ST NICOLAS AUX BOIS,02410,,
FR,ST PAUL AUX BOIS,02300,,
FR,ST SIMON,02640,,
FR,SAVY,02590,,
FR,SEPTMONTS,02200,,
FR,SERY LES MEZIERES,02240,,
FR,SOMMELANS,02470,,
FR,SOMMETTE EAUCOURT,02480,,
FR,SOUCY,02600,,
FR,TARTIERS,02290,,
FR,TERGNIER,02700,,
FR,TERGNIER,02700,FARGNIERS,
FR,TORCY EN VALOIS,02810,,
FR,TRAVECY,02800,,
FR,TRELOU SUR MARNE,02850,,
FR,URCEL,02000,,
FR,LA VALLEE AU BLE,02140,,
FR,VASSOGNE,02160,,
FR,VAUX ANDIGNY,02110,,
FR,VERDILLY,02400,,
FR,GRAND VERLY,02120,,
FR,VIGNEUX HOCQUET,02340,,
FR,VILLEMONTOIRE,02210,,
FR,VILLERS LE SEC,02240,,
FR,VILLERS SUR FERE,02130,,
FR,VILLIERS ST DENIS,02310,,
FR,VINCY REUIL ET MAGNY,02340,,
FR,VOHARIES,02140,,
FR,ARFEUILLES,03120,,
FR,ARPHEUILLES ST PRIEST,03420,,
FR,BAGNEUX,03460,,
FR,BAYET,03500,,
FR,BEAUNE D ALLIER,03390,,
FR,BILLEZOIS,03120,,
FR,BIOZAT,03800,,
FR,LE BOUCHAUD,03130,,
FR,BROUT VERNET,03110,,
FR,LA CELLE,03600,,
FR,CESSET,03500,,
FR,CHAMBLET,03170,,
FR,LA CHAPELAUDE,03380,,
FR,LA CHAPELLE,03300,,
FR,LA CHAPELLE AUX CHASSES,03230,,
FR,CHARROUX,03140,,
FR,CHATEL MONTAGNE,03250,,
FR,CHATELUS,03120,,
FR,CHATILLON,03210,,
FR,CHAVENON,03440,,
FR,CHIRAT L EGLISE,03330,,
FR,COGNAT LYONNE,03110,,
FR,COULANDON,03000,,
FR,COULEUVRE,03320,,
FR,CREUZIER LE VIEUX,03300,,
FR,CUSSET,03300,,
FR,DROITURIER,03120,,
FR,ECHASSIERES,03330,,
FR,FLEURIEL,03140,,
FR,GENNETINES,03400,,
FR,GIPCY,03210,,
FR,ISLE ET BARDAIS,03360,,
FR,JALIGNY SUR BESBRE,03220,,
FR,LAPRUGNE,03250,,
FR,LETELON,03360,,
FR,LIERNOLLES,03130,,
FR,LIMOISE,03320,,
FR,LOUROUX BOURBONNAIS,03350,,
FR,MARIGNY,03210,,
FR,MEAULNE VITRAY,03360,MEAULNE,
FR,MONETAY SUR LOIRE,03470,,
FR,MONTCOMBROUX LES MINES,03130,,
FR,MONTORD,03500,,
FR,MURAT,03390,,
FR,NASSIGNY,03190,,
